topic,outlet,care,fair,ingroup,order,purity
AI,AP,0.006022832459117556,0.0009256402344955261,0.00556618327676643,0.005899413761184819,0.0010984264116013576
AI,BBC,0.004949650110940434,0.000819252432155658,0.0019115890083632018,0.0029015190305512885,0.0005803038061102578
AI,CNN,0.0064398895188254104,0.0007995348161069923,0.0038813781072830353,0.005407762756214566,0.0007995348161069923
AI,Fox News,0.0076755696898687265,0.0013868630592286171,0.005152913607995983,0.00662346667941943,0.0007890772578369718
AI,Newsmax,0.006122408803669508,0.0028938716853357483,0.003838809378506605,0.0062405260153158655,0.0005708998562907259
Climate,AP,0.00686346263316256,0.0011140928681792307,0.006432463202407091,0.006879726762625031,0.001463771651622347
Climate,BBC,0.00501123207188526,0.0007443739947627973,0.004692214645558347,0.005463173425848387,0.0007975435658172827
Climate,CNN,0.006282739084334299,0.000902055737549257,0.00517495133646679,0.005665543053379544,0.0011077877478675086
Climate,Fox News,0.005868231528407575,0.002381587470944633,0.0068970773158556565,0.007125709713066341,0.0016004267804747934
Climate,Newsmax,0.007705856450902686,0.0019186009938982197,0.005881612882933887,0.0071082594200163555,0.0012895514877020822
Economy,AP,0.006218170877118691,0.0011255112161092972,0.005939578991943122,0.006563624814736396,0.0012815226718076156
Economy,BBC,0.006600473081117831,0.0013030976898344216,0.004603334230393337,0.004773303494284784,0.000665712950241498
Economy,CNN,0.008678840859898711,0.0009246222707882405,0.0064618488242587264,0.006629961964402043,0.0006934667030911803
Economy,Fox News,0.006190255611235104,0.0014879072444238571,0.006849988068668323,0.009011664631321852,0.0010106539773445066
Economy,Newsmax,0.0104720406681191,0.0024836601307189543,0.005751633986928104,0.005432098765432099,0.0006971677559912854
Immigration,AP,0.008951562102843503,0.0013482599710455646,0.011780697779791573,0.011515466310077691,0.0006851812967608607
Immigration,BBC,0.008033225859336576,0.0012705612328542542,0.00782829662823105,0.007418438166020001,0.0007240832832395213
Immigration,CNN,0.007333129361139349,0.0014508344765645819,0.009346532308208566,0.009840013422686315,0.0010461799626928277
Immigration,Fox News,0.008536032633328297,0.0013899380571083244,0.01196555370901949,0.013899380571083246,0.0010122374981114972
Immigration,Newsmax,0.00765138818042702,0.0029148145449245794,0.01373606354295708,0.014191503315601544,0.0008926619543831524
Iran,AP,0.016141476488264438,0.0007816941444002274,0.007421018435799561,0.006700235523430521,0.0008730609924470072
Iran,BBC,0.011124644742184327,0.000730816077953715,0.0052239815942617404,0.005386385167140344,0.000730816077953715
Iran,CNN,0.012918627882564085,0.0008465680132741865,0.00585825065185737,0.005790525210795435,0.0013883715417696658
Iran,Fox News,0.012854230075943383,0.0006057740610502054,0.007136313938713395,0.006116840518897195,0.0007535238320380604
Iran,Newsmax,0.014121836243348777,0.0023873591356950653,0.006858599550852773,0.006211180124223602,0.0007890424262043013
