outlet,T1,T2,T3,T4,T5,topic
AP,0.009252047068177081,0.40558736103950976,0.016877080767188014,0.4357207442063402,0.1325627669187849,AI
BBC,0.8429167906269863,0.08960907404057987,0.007298625810499766,0.017679520445101436,0.04249598907683258,AI
CNN,0.008016570582766199,0.2462402269471937,0.4105536706047611,0.20720222765125176,0.12798730421402726,AI
Fox News,0.01137363424490642,0.6768288926302323,0.031449343664061616,0.139502466001516,0.14084566345928368,AI
Newsmax,0.00848548700154892,0.2309023505728558,0.013609723967667913,0.4369132383919948,0.31008920006593266,AI
AP,0.23512242138869008,0.30140982841374186,0.20706249959774528,0.19149072941960085,0.06491452118022199,Climate
BBC,0.17125985502261754,0.4110690266092946,0.06135075928979934,0.2770257503912164,0.0792946086870721,Climate
CNN,0.1859070399192297,0.3742157465312884,0.08013186305985333,0.18222880689255788,0.17751654359707064,Climate
Fox News,0.4935568983196855,0.09050837861915921,0.269194107304677,0.09523114661827392,0.05150946913820442,Climate
Newsmax,0.19446461028741738,0.18536373150605828,0.2366198642185792,0.345871631399914,0.03768016258803116,Climate
AP,0.29133454453476937,0.13538138738152602,0.17376204132573944,0.02445029963033461,0.37507172712763065,Economy
BBC,0.4941321894614523,0.19233998590427165,0.24234538992642823,0.006170908754357351,0.06501152595349052,Economy
CNN,0.14159444151150222,0.23785995669691212,0.25533167823582975,0.22159255098151778,0.14362137257423818,Economy
Fox News,0.42280897729610933,0.1439307842955154,0.13995485461798005,0.10195679701113108,0.1913485867792642,Economy
Newsmax,0.13926973388266933,0.3687548132792844,0.33438816169472635,0.017167954293408588,0.14041933684991134,Economy
AP,0.7745713596965143,0.02203509989037423,0.11667922585210627,0.061968901092812306,0.024745413468193006,Immigration
BBC,0.8774539521554852,0.01816785830835066,0.03899777281165791,0.0459552956491898,0.019425121075316482,Immigration
CNN,0.32489567393994,0.22916688160723486,0.11645522570748386,0.03989718080468043,0.28958503794066087,Immigration
Fox News,0.6192649922643869,0.04031040846436561,0.18815260216486096,0.12438056961148544,0.027891427494901103,Immigration
Newsmax,0.1912274637455863,0.009287460963956133,0.3819083724311748,0.4096786522473965,0.007898050611886262,Immigration
AP,0.5684046018905805,0.03669648778740525,0.019997378668065474,0.02437670528081797,0.3505248263731308,Iran
BBC,0.4578442672254784,0.01900713778500456,0.031024116076574938,0.03813105963255957,0.4539934192803826,Iran
CNN,0.13243520116852686,0.2685569272009909,0.35767919828305333,0.14339752317354013,0.09793115017388876,Iran
Fox News,0.6777138235270806,0.07507278234890331,0.02240832180748655,0.01956559461834515,0.20523947769818446,Iran
Newsmax,0.5515677115586268,0.02426020143994473,0.010641738447214362,0.010537640621808588,0.40299270793240544,Iran
