outlet,topic,anger,fear,disgust,sadness,joy,anticipation,surprise,trust
AP,AI,1.51,2.36,0.68,1.44,1.71,2.89,1.23,4.69
AP,Climate,1.7,2.81,0.96,1.49,1.56,2.74,1.35,4.41
AP,Economy,2.07,2.82,0.92,1.79,1.83,2.9,1.59,5.08
AP,Immigration,2.59,3.49,0.85,1.84,1.37,2.56,1.38,5.03
AP,Iran,2.45,3.95,0.69,1.65,1.2,2.37,1.24,4.31
BBC,AI,2.35,5.53,0.32,3.26,5.32,7.71,3.08,4.44
BBC,Climate,1.18,2.14,0.73,1.14,1.79,2.86,1.04,3.89
BBC,Economy,1.61,2.66,0.58,1.65,1.82,3.34,1.07,4.37
BBC,Immigration,2.38,3.31,0.93,1.73,1.51,2.49,1.21,3.72
BBC,Iran,2.08,3.2,0.5,1.69,1.28,2.44,1.11,3.73
CNN,AI,1.85,2.82,0.66,1.39,1.49,2.7,1.58,3.77
CNN,Climate,1.51,2.51,0.85,1.38,1.47,2.49,1.31,3.9
CNN,Economy,2.37,3.04,1.07,1.66,1.48,2.65,1.83,4.43
CNN,Immigration,2.94,3.32,1.25,2.07,1.57,2.83,2.17,4.83
CNN,Iran,2.57,3.57,0.77,1.43,1.24,2.35,2.27,4.11
Fox News,AI,1.79,2.92,0.77,1.41,1.68,3.11,1.31,4.82
Fox News,Climate,2.0,2.67,0.92,1.49,1.73,2.82,1.52,4.97
Fox News,Economy,2.16,2.52,1.04,1.85,1.72,2.79,1.5,5.24
Fox News,Immigration,3.01,3.94,1.41,2.08,1.43,2.54,1.53,5.26
Fox News,Iran,2.62,3.96,0.85,1.69,1.73,2.89,2.09,5.0
Newsmax,AI,1.72,2.79,0.56,1.15,1.51,3.1,1.09,4.47
Newsmax,Climate,2.04,3.13,1.27,1.78,1.47,2.82,1.39,4.64
Newsmax,Economy,2.23,3.53,0.85,1.66,1.22,2.71,1.38,4.53
Newsmax,Immigration,2.63,3.52,1.14,1.85,1.57,2.95,1.56,5.37
Newsmax,Iran,2.71,4.17,0.75,1.59,1.15,2.71,1.61,4.7
