outlet,topic,anger,fear,disgust,sadness,joy,anticipation,surprise,trust
AP,AI,2.12,3.27,1.09,1.39,2.45,3.71,2.9,5.95
AP,Climate,3.44,5.78,2.24,2.96,1.79,2.74,3.58,5.35
AP,Economy,4.25,4.55,2.19,2.62,2.94,4.04,3.19,6.8
AP,Immigration,4.12,5.08,0.85,2.78,1.41,2.79,3.13,5.16
AP,Iran,4.46,6.73,0.71,2.31,0.79,2.34,2.29,3.5
BBC,AI,3.02,5.06,1.09,2.24,3.3,3.34,2.44,4.07
BBC,Climate,2.39,4.33,1.46,1.68,3.99,5.27,2.33,4.47
BBC,Economy,3.4,4.45,0.87,3.34,3.41,6.44,1.75,4.59
BBC,Immigration,4.69,5.17,1.16,2.6,2.28,3.47,2.18,4.05
BBC,Iran,4.0,6.0,0.67,3.15,2.36,3.52,2.18,3.58
CNN,AI,3.35,3.01,0.71,1.68,1.46,3.08,2.38,3.67
CNN,Climate,3.43,4.34,1.55,2.0,1.1,2.7,3.04,2.97
CNN,Economy,4.9,4.25,1.2,1.94,1.68,2.39,3.22,3.32
CNN,Immigration,7.71,4.62,1.87,2.98,1.93,3.41,3.5,4.82
CNN,Iran,6.3,5.61,0.68,2.53,0.96,2.36,3.97,4.36
Fox News,AI,4.82,6.08,1.56,3.86,1.93,3.59,2.57,4.62
Fox News,Climate,4.58,5.89,1.75,2.63,2.21,4.01,3.95,5.19
Fox News,Economy,4.39,4.98,2.24,3.3,3.17,4.15,3.82,6.19
Fox News,Immigration,5.78,7.63,1.98,3.35,1.69,4.11,3.33,6.64
Fox News,Iran,5.61,7.68,1.34,3.3,2.36,3.03,4.63,5.99
Newsmax,AI,2.65,3.81,1.06,2.08,1.53,3.91,1.69,4.28
Newsmax,Climate,3.31,5.64,1.09,2.45,2.23,3.86,2.9,5.21
Newsmax,Economy,5.01,6.28,1.12,2.85,1.64,4.64,3.96,4.72
Newsmax,Immigration,5.29,5.36,1.88,2.67,2.3,4.4,3.87,5.56
Newsmax,Iran,5.19,8.26,0.58,2.71,2.41,3.0,5.2,4.91
