outlet,topic,body_compound,headline_compound
AP,AI,0.4362,-0.0865
AP,Climate,0.2486,-0.0352
AP,Economy,0.1727,-0.0293
AP,Immigration,-0.2703,-0.1287
AP,Iran,-0.4938,-0.3085
BBC,AI,0.6701,-0.0113
BBC,Climate,0.6451,0.0286
BBC,Economy,0.204,-0.1282
BBC,Immigration,-0.304,-0.2095
BBC,Iran,-0.2841,-0.1153
CNN,AI,0.1669,-0.1341
CNN,Climate,0.2779,-0.0176
CNN,Economy,-0.1075,-0.1456
CNN,Immigration,-0.2862,-0.1477
CNN,Iran,-0.4516,-0.1745
Fox News,AI,0.4857,-0.1492
Fox News,Climate,0.2722,-0.1492
Fox News,Economy,0.0466,-0.021
Fox News,Immigration,-0.2117,-0.1996
Fox News,Iran,-0.4149,-0.2266
Newsmax,AI,0.4406,-0.0464
Newsmax,Climate,-0.005,-0.0444
Newsmax,Economy,-0.1801,-0.1573
Newsmax,Immigration,-0.0396,-0.0994
Newsmax,Iran,-0.4253,-0.2281
